Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region
North_Sea,Forties-Piper,Latin_1992,samp. AH1/36,,WELL 15/21-8A (AH1)/ AMERADA HESS,,,,155,5,Stratigraphic,57.5,1,49.26220204,2.177277887,12.19688371,9.163141059,13.84790011,9.957692705,0.144463936,0.753276236,2.197915592,0.299246724,,1.1,,46,,363,766,,241,34,77,,14,471,22,163,36,,,557,25.8,55.63,6.8,29.7,5.66,1.75,5.31,,4.49,0.77,2.11,,1.67,0.24,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. AH1/42,,WELL 15/21-8A (AH1)/ AMERADA HESS,,,,155,5,Stratigraphic,57.5,1,46.80917298,2.490401577,13.78022206,9.930476289,12.25485109,11.11341704,0.207533465,0.913147245,2.127218014,0.373560237,,1.5,,44,,383,277,,127,63,85,,6,482,24,197,46,,,511,34.7,73.35,8.73,36.2,6.71,2.04,6.25,,5.19,0.9,2.45,,1.97,0.29,,,,,,,0.703673,0.512777,20.615,15.721,40.649,
North_Sea,Forties-Piper,Latin_1992,samp. BP1/1,,WELL 21/9-1 (BP1/ B.P.),,,,155,5,Stratigraphic,57.5,1,47.02473352,3.09427714,13.89837525,8.692952499,12.89454621,10.89723688,0.424298872,0.527786402,2.090448101,0.455345131,,2.9,,37,,379,291,,110,39,113,,3,746,27,240,64,,,596,43.7,93.92,10.81,44.9,7.81,2.49,6.86,,5.25,0.9,2.39,,1.82,0.26,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. BP1/33,,WELL 21/9-1 (BP1/ B.P.),,,,155,5,Stratigraphic,57.5,1,47.82111284,2.849713989,13.47893916,9.797191888,12.17888716,10.24440978,0.2600104,0.676027041,2.288091524,0.405616225,,2.5,,35,,313,359,,152,39,84,,4,698,27,221,56,,,573,38.7,83.78,9.9,41.1,7.25,2.31,6.51,,5.16,0.89,2.42,,1.88,0.27,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. BP1/64,,WELL 21/9-1 (BP1/ B.P.),,,,155,5,Stratigraphic,57.5,1,48.32694499,3.056044753,14.52398218,8.277219517,12.06878691,9.655029525,0.300424738,0.528333161,2.724541593,0.538692634,,2.7,,31,,338,283,,107,42,80,,3,822,29,282,65,,,466,46.3,101.37,11.98,49.3,8.46,2.61,7.24,,5.62,0.97,2.61,,2.02,0.29,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. BP2/1,,WELL 21/10-1 (BP2/ B.P.),,,,155,5,Stratigraphic,57.5,1,46.43115381,2.499741762,10.21588679,8.366904245,14.05846503,15.82481149,0.21691974,0.547464105,1.487449644,0.351203388,,3.3,,38,,267,1171,,83,61,84,,15,316,21,193,52,,,497,37.8,78.65,9.16,37.5,6.3,1.93,5.35,,3.92,0.65,1.69,,1.24,0.17,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. TO1/21,,WELL 21/3-2 (TO1/ TOTAL),,,,155,5,Stratigraphic,57.5,1,49.59451029,2.401746725,13.2771886,9.211894365,10.49074652,10.46995217,0.239134955,1.403618216,2.547307132,0.363901019,,2.7,,28,,290,287,,163,57,93,,36,774,26,208,51,,,689,38.8,79.71,8.96,36.9,6.46,1.96,5.82,,4.74,0.82,2.22,,1.81,0.27,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. TO1/27,,WELL 21/3-2 (TO1/ TOTAL),,,,155,5,Stratigraphic,57.5,1,49.61542406,2.60486104,13.00379448,9.240077941,10.80914778,10.29637986,0.205107168,1.138344785,2.738180699,0.348682186,,3,,37,,312,464,,167,93,85,,36,919,26,190,48,,,521,34.6,72.34,8.41,34.8,6.3,1.96,5.78,,4.61,0.8,2.13,,1.67,0.26,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. FO1/3,,WELL 15/27-2 (FO1/ PHILLIPS),,,,155,5,Stratigraphic,57.5,1,52.20138817,2.486273697,19.14430747,7.210193722,6.795814773,4.558168445,0,3.522221071,3.138920543,0.94271211,,2.6,,5,,259,2,,69,9,165,,94,1344,34,424,147,,,1438,80,166.29,18.41,71.5,11.78,3.62,9.67,,7.15,1.22,3.26,,2.53,0.37,,,,,,,,,,,,
North_Sea,Forties-Piper,Latin_1992,samp. FO1/4,,WELL 15/27-2 (FO1/ PHILLIPS),,,,155,5,Stratigraphic,57.5,1,46.61238125,3.173608936,18.42572294,9.238960225,12.91366531,5.115356509,0,1.023071302,2.296690678,1.200542854,,2.7,,7,,321,2,,9,21,130,,15,1653,35,386,126,,,3534,92.7,186.99,21.22,82.4,13.07,3.89,10.75,,7.95,1.35,3.57,,2.68,0.38,,,,,,,,,,,,
North_Sea,Central Graben,Latin_1992,samp. SH1/5,,WELL 30/16-A13Y (SH1/ SHELL/ESSO),,,,130,2,Stratigraphic,56,2,42.50286548,4.449307075,14.46285297,13.38960092,7.710742941,10.2427842,0.291757841,4.939043451,0.927373137,1.083671981,,3.8,,24,,414,4,,15,16,152,,76,1083,32,402,111,,,886,88.8,186.24,21.07,82.4,13.16,3.89,10.86,,7.99,1.37,3.6,,2.65,0.38,,,,,,,,,,,,
North_Sea,Central Graben,Latin_1992,samp. SH1/10,,WELL 30/16-A13Y (SH1/ SHELL/ESSO),,,,130,2,Stratigraphic,56,2,44.45944543,4.341053069,13.91629453,11.89116211,9.242912037,8.796344376,0.498494132,4.621456018,1.225464742,1.007373559,,2.5,,26,,404,,,15,32,157,,74,1164,32,387,109,,,1046,85,176.67,20.23,79.23,12.7,3.73,10.48,,7.7,1.32,3.48,,2.54,0.37,,,,,,,,,,,,
North_Sea,Central Graben,Latin_1992,samp. SH2/2,,WELL 30/16-A13Y (SH1/ SHELL/ESSO),,,,130,2,Stratigraphic,56,2,43.97943445,4.853470437,17.33676093,8.966580977,8.205655527,8.750642674,0.143958869,5.275064267,1.71722365,0.771208226,,11.9,,46,,503,63,,56,48,97,,87,943,25,339,104,,,966,64.1,132.04,14.84,57.1,8.83,2.6,7.31,,5.19,0.89,2.31,,1.66,0.23,,,,,,,,,,,,
North_Sea,Central Graben,Latin_1992,samp. SH2/3,,WELL 30/16-A13Y (SH1/ SHELL/ESSO),,,,130,2,Stratigraphic,56,2,43.02780639,4.819773429,17.42533471,12.03913491,5.818743563,9.237899073,0.17507724,5.139031926,1.606591143,0.710607621,,9,,49,,509,66,,55,95,167,,98,1022,23,334,98,,,980,68.7,143.39,16.12,62.9,9.69,2.82,7.7,,5.36,0.91,2.4,,1.79,0.26,,,,,,,,,,,,
North_Sea,Netherlands,Latin_1992,samp. PL1/10,,WELL F10-1 (PL1/ ELF-PETROLAND),,,,151,2,Stratigraphic,52.5,5,42.72583201,4.289487586,15.41468568,11.80137348,7.606973059,11.10406762,0.253565769,5.272054939,0.750132066,0.781827787,,4,,26,,459,19,,34,90,80,,61,1174,27,321,103,,,814,81.7,156.8,16.41,62.6,9.98,2.97,8.43,,6.16,1.05,2.72,,2.08,0.3,,,,,,,,,,,,
North_Sea,Netherlands,Latin_1992,samp. PL1/12,,WELL F10-1 (PL1/ ELF-PETROLAND),,,,151,2,Stratigraphic,52.5,5,42.03855018,4.504504505,15.13723025,11.70123612,9.197569663,11.25078567,0.251414205,4.378797402,0.817096166,0.722815839,,3.2,,36,,501,32,,46,69,94,,63,893,27,318,94,,,760,73.8,149.88,16.97,67,10.63,3.16,8.87,,6.34,1.09,2.85,,2.09,0.3,,,,,,,0.703989,0.512788,20.345,15.609,39.264,
North_Sea,Egersund Basin,Latin_1992,samp. 7N,,WELL 17/9-1,,,,170,2,Stratigraphic,58.1,4,45.84707008,3.360629586,12.15569499,9.51823886,17.87727321,7.104115708,0.563649899,0.893331915,1.988727002,0.691268744,,4,,29,,525,266,,72,37,72,,44,648,21,331,129,,,433,72.3,143.68,15.74,60.1,8.96,2.52,6.93,,4.55,0.79,2.03,,1.5,0.21,,,,,,,,,,,,
North_Sea,Egersund Basin,Latin_1992,samp. ES1/24,,WELL 17/9-1,,,,170,2,Stratigraphic,58.1,4,47.13766234,3.438961039,12.16623377,9.028571429,15.31428571,8.425974026,0.27012987,0.935064935,2.576623377,0.706493506,,2.8,,36,,402,220,,9,51,133,,46,477,19,316,120,,,352,76.7,155.95,16.85,64.7,9.51,2.64,7.32,,4.8,0.81,2.08,,1.51,0.22,,,,,,,0.704013,0.512689,21.147,15.67,40.581,
North_Sea,Egersund Basin,Latin_1992,samp. ES1/34,,WELL 17/9-1,,,,170,2,Stratigraphic,58.1,4,46.81928473,3.96666315,13.71452685,9.906108239,12.65956325,8.197067201,0.210992721,0.928367971,2.785103914,0.812321975,,4,,37,,485,189,,6,114,123,,109,616,24,360,140,,,4751,72,151.78,16.9,65.6,10.2,2.99,8.18,,5.52,0.93,2.42,,1.76,0.26,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-1,,,,,,176.7,0.5,Stratigraphic,55.69,13.25,44.39749016,2.539998255,14.37932897,11.06857349,11.86032243,10.60081916,0.209917211,1.091569498,3.085783004,0.766197821,,4.2,0,,,204,294,,176,20,88,17,70,1118,30,324,108,,,1143,,109,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-2,,,,,,176.7,0.5,Stratigraphic,,,46.03680619,2.338049033,14.79385008,10.29547271,10.86261719,8.648712354,0.196561644,2.017343193,4.065722434,0.744865179,,1.8,,23.7,,197,245,,112,15,96,17,48,1055,30,351,109,,0.79,957,69,126,14,50,8.5,2.7,7.6,1,5.4,0.96,2.6,0.35,2.1,0.32,5.9,6.3,,4.6,10.1,2.2,0.70368,0.51265,18.79,15.58,38.24,
Scanian,Scanian,Tappe_2016,CJBG-3,,,,,,176.7,0.5,Stratigraphic,,,46.17227971,2.350024102,14.28649013,10.46097597,11.07720612,9.627852047,0.196698053,1.635699595,3.509507359,0.683266919,,2.2,,,,192,302,,152,8,86,17,73,1011,28,292,95,,,975,,97,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-5,,,,,,176.7,0.5,Stratigraphic,,,46.15510955,2.271289815,14.48207726,10.75289652,10.93969865,9.303953234,0.208375212,1.635745417,3.52154109,0.729313243,,2.6,,23.5,,166,278,,150,17,91,15,64,960,28,340,97,,0.69,1077,60,111,13,47,8.4,2.5,7.4,1,5.4,0.98,2.7,0.36,2.1,0.33,5.5,5.7,,4.1,8.3,1.9,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-6,,,,,,176.7,0.5,Stratigraphic,,,45.77790012,2.356368101,14.63647147,10.76942643,10.58808574,9.373570025,0.197229048,2.231802387,3.373654771,0.695491907,,2.1,,,,180,264,,149,20,89,18,64,869,29,310,95,,,820,,116,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-7,,,,,,176.7,0.5,Stratigraphic,,,45.23676464,2.418186497,14.27980819,10.95445154,11.36130725,10.08967469,0.198041136,1.500943343,3.272890345,0.687932365,,2.4,,,,206,311,,164,16,89,17,58,989,25,290,89,,,802,,100,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-8,,,,,,176.7,0.5,Stratigraphic,,,45.90760131,2.222345245,14.29395768,10.82448445,11.0595585,9.724064641,0.198237369,1.533731226,3.547405556,0.68861402,,2.5,,,,196,383,,180,25,82,14,109,1094,29,307,90,,,894,,120,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-9,,,,,,176.7,0.5,Stratigraphic,,,45.50538576,2.333070586,14.29268467,11.47993898,11.35007312,9.573996865,0.199677212,1.366212505,3.04770482,0.851255484,,3.4,,24.1,,190,320,,170,16,171,13,39,986,27,311,97,,1,957,66,119,14,50,8.8,2.7,7.8,1.1,5.5,1,2.7,0.35,2.1,0.33,5.2,5.4,,4,8.5,1.9,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-10,,,,,,176.7,0.5,Stratigraphic,,,44.87163435,2.222903545,14.26793903,12.34522672,11.37299488,9.511959355,0.206781725,1.499167507,2.998335014,0.703057865,,1.8,,23.4,,181,314,,173,19,102,16,47,946,29,234,66,,2.6,991,61,112,13,49,8.6,2.6,7.7,1.1,5.7,1,2.8,0.37,2.2,0.34,4.1,3.8,,5,6.6,1.5,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-11,,,,,,176.7,0.5,Stratigraphic,,,44.94528322,2.221314228,14.11676332,12.30998785,11.62556979,9.829834459,0.207599461,1.484336143,2.574233311,0.68507822,,1.8,,,,185,322,,165,18,103,16,52,1218,29,259,69,,,774,,113,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-12,,,,,,176.7,0.5,Stratigraphic,,,43.88967346,2.48880266,13.73488605,10.63029785,11.97929911,11.56621983,0.196212658,1.734932975,3.067113651,0.712561757,,2.1,,28.7,,232,351,,203,16,81,12,72,946,29,288,95,,1.2,940,57.7,106,12,47,8.3,2.6,7.6,1,5.4,0.97,2.6,0.35,2.1,0.32,5.1,5.7,,3.4,7.9,1.76,0.7046,0.51265,18.89,15.6,38.25,
Scanian,Scanian,Tappe_2016,CJBG-13,,,,,,176.7,0.5,Stratigraphic,,,45.02034348,2.412175447,13.93239267,10.56235691,11.12511952,11.12511952,0.197548851,1.757145046,3.191973544,0.675825018,,2.1,,,,218,392,,209,15,85,13,61,924,28,292,92,,,859,,86,,,,,,,,,,,,,,,,,,,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-14,,,,,,176.7,0.5,Stratigraphic,,,45.93156276,2.192188223,14.30141841,10.83013429,10.8565512,9.645628181,0.198340839,1.659799654,3.684964013,0.699412433,,2.5,,22.8,,179,357,,185,24,88,14,81,1169,29,315,95,,0.67,947,75,127,13,47,7.9,2.4,7.1,0.96,5.1,0.92,2.5,0.33,2,0.32,4.7,4.9,,4,9.2,1.8,,,,,,
Scanian,Scanian,Tappe_2016,CJBG-15,,,,,,144,2,Stratigraphic,,,46.13455186,2.400666726,14.82150761,10.71607317,10.64643504,9.195597328,0.208753628,1.983159469,3.287869646,0.605385522,,2.7,,24,,202,307,,145,18,94,14,81,1207,29,364,92,,0.71,1051,64,120,13.1,49,8.63,2.66,7.69,1.02,5.5,1,2.7,0.35,2.2,0.34,5.9,5.5,,3.6,7.3,1.7,0.70438,0.51264,18.88,15.59,38.39,
Scanian,Scanian,Tappe_2016,CJBG-16,,,,,,144,2,Stratigraphic,,,46.27326774,2.344929109,14.90332722,10.65299001,10.52612622,9.150434477,0.198016236,2.115647151,3.241213123,0.594048707,,2.6,,,,180,300,,150,17,95,12,73,1266,33,364,90,,,1021,,104,,,,,,,,,,,,,,,,,,,,,,,,
